category,word,by,post_link,post_content
clean_eating,calorie,Skinny_taste,https://www.facebook.com/157606644261329/posts/2429095430445761/,Cheesy Zucchini Rollatini – obsessed!  8 Smart Points • 318 calories (4 rolls) print recipe on skinnytaste.com http://www.skinnytaste.com/zucchini-rollatini/
clean_eating,calorie,Skinny_taste,https://www.facebook.com/157606644261329/posts/2399749416713696/,Chicken Pesto Bake is layered with all the things that makes me happy that summer is coming! 💛   4 Smart Points • 236 calories http://www.skinnytaste.com/skinny-chicken-pesto-bake/
clean_eating,calorie,Skinny_taste,https://www.facebook.com/157606644261329/posts/2463829250305712/,Fish Florentine has easily been one of the most trending recipes on Skinnytaste this year! Restaurant quality  yet it s so easy to make!    6 Freestyle Points • 351 Calories https://www.skinnytaste.com/fish-florentine/
clean_eating,calorie,Skinny_taste,https://www.facebook.com/157606644261329/posts/2469314119757225/,Greek Chickpea Salad  perfect to make ahead  for lunch for the week!  6 Freestyle Points • 292 Calories  https://www.skinnytaste.com/greek-chickpea-salad/
clean_eating,calorie,Skinny_taste,https://www.facebook.com/157606644261329/posts/2399894143365890/,Grilled Lobster Tails topped with Herb Garlic Butter are a delicious delicacy  and grilling them is super quick and easy!  2 Freestyle Points 177 Calories https://www.skinnytaste.com/grilled-lobster-tails-with-herb-garlic-butter/
clean_eating,calorie,Skinny_taste,https://www.facebook.com/157606644261329/posts/2460422453979725/,Light up the grill and make these EASY Shrimp Scampi Foil Packets! Serve with some crusty grilled bread (optional) to sop up the delicious  garlicky sauce!   4 Freestyle Points 224 Calories  https://www.skinnytaste.com/shrimp-scampi-foil-packets/
clean_eating,calorie,Skinny_taste,https://www.facebook.com/157606644261329/posts/2469297299758907/,I make these Grilled Pesto Chicken and Tomato Skewers ALL summer!  4 Freestyle Points • 147 Calories https://www.skinnytaste.com/grilled-pesto-chicken-and-tomato-kebabs/
clean_eating,calorie,Skinny_taste,https://www.facebook.com/157606644261329/posts/2450300594991911/,Grilled Salmon with Avocado Bruschetta is so easy to make with this foolproof method  you’ll be grilling it outdoors all summer long! Topped with this fresh avocado bruschetta  this dish just screams summer!   3 Freestyle Points 340 Calories  https://www.skinnytaste.com/grilled-salmon-with-avocado-bruschetta/
clean_eating,calorie,Skinny_taste,https://www.facebook.com/157606644261329/posts/2444012765620694/,Greek 7 Layer Dip  grab some chips and serve this at your next party! For variations swap the yogurt for tzatziki! SO good!  2 Freestyle Points 93 calories https://www.skinnytaste.com/greek-7-layer-dip/
clean_eating,calorie,Skinny_taste,https://www.facebook.com/157606644261329/posts/2467966739891963/,This EASY Corn Tomato Avocado Salad is summer in a bowl! A great way to enjoy those end of summer veggies!!  3 Freestyle Points • 128 Calories  Print full recipe: https://www.skinnytaste.com/corn-tomato-avocado-salad/
clean_eating,calorie,Skinny_taste,https://www.facebook.com/157606644261329/posts/2450278244994146/,Southwestern Black Bean Salad for your next BBQ!  Freestyle Smart Points: 1 • Calories: 79.5 (1/2 cup) http://www.skinnytaste.com/southwestern-black-bean-salad/
clean_eating,calorie,Skinny_taste,https://www.facebook.com/157606644261329/posts/2420187814669856/,Easy Air Fryer Avocado Egg Rolls inspired by the Cheesecake Factory  only healthier because they are not fried!   4 WW Points • 148 Calories https://www.skinnytaste.com/avocado-egg-rolls/
clean_eating,calorie,Skinny_taste,https://www.facebook.com/157606644261329/posts/2425983257423645/,Pineapple Shrimp Fried Rice has a delicious flavor combination of savory  sweet and spicy.   8 Freestyle Points • 431 Calories PRINT: https://www.skinnytaste.com/pineapple-shrimp-fried-rice/
clean_eating,calorie,Skinny_taste,https://www.facebook.com/157606644261329/posts/2383636011658370/,This EASY Corn Tomato Avocado Salad is summer in a bowl! A great way to enjoy those end of summer veggies!!  3 Freestyle Points • 128 Calories  Print full recipe: https://www.skinnytaste.com/corn-tomato-avocado-salad/
clean_eating,calorie,Skinny_taste,https://www.facebook.com/157606644261329/posts/2414234821931822/,Fire up the grill and make these Grilled Shrimp and Vegetable Bowls! A simple  light dish you’ll want to make all summer long!   6 Smart Points  • 247 Calories  Print the full recipe on Skinnytaste http://www.skinnytaste.com/grilled-shrimp-and-vegetable-bowl/
clean_eating,calorie,Skinny_taste,https://www.facebook.com/157606644261329/posts/2431209623567675/,Easy Air Fryer Avocado Egg Rolls inspired by the Cheesecake Factory  only healthier because they are not fried!   4 WW Points • 148 Calories https://www.skinnytaste.com/avocado-egg-rolls/
clean_eating,calorie,Skinny_taste,https://www.facebook.com/157606644261329/posts/2456490991039538/,These boneless Asian Glazed Chicken Thighs come out so juicy and delicious in the air fryer!  7 Freestyle Points•  297 Calories (for 2) https://www.skinnytaste.com/air-fryer-asian-glazed-boneless-chicken-thighs/
clean_eating,calorie,Skinny_taste,https://www.facebook.com/157606644261329/posts/2451683574853613/,Grilled Shrimp Tostadas are so easy!  I made these tonight and omg they were soooooo good.  – Erica  4 Freestyle Points • 262 Calories each https://www.skinnytaste.com/grilled-shrimp-tostadas/
clean_eating,calorie,Skinny_taste,https://www.facebook.com/157606644261329/posts/2449847045037266/,Pineapple Shrimp Fried Rice has a delicious flavor combination of savory  sweet and spicy.   8 Freestyle Points • 431 Calories PRINT: https://www.skinnytaste.com/pineapple-shrimp-fried-rice/
clean_eating,calorie,Skinny_taste,https://www.facebook.com/157606644261329/posts/2373308952691076/,Did you know you can make Brussels sprouts on the grill? They come out perfectly charred on the edges and make the perfect side to grilled steaks  pork or chicken!   2 Freestyle Points • 118 Calories  https://www.skinnytaste.com/grilled-brussels-sprouts-with-balsamic-glaze/
clean_eating,calorie,Skinny_taste,https://www.facebook.com/157606644261329/posts/2460086840679953/,I m so obsessed with these Loaded Baked Sweet Potatoes  an easy Meatless weeknight dish!    8 Freestyle Points • 307 Calories PRINT: https://www.skinnytaste.com/loaded-baked-sweet-potato/
clean_eating,calorie,Skinny_taste,https://www.facebook.com/157606644261329/posts/2448102425211728/,Grilled Chicken Shawarma Skewers with Tzatziki   6 Freestyle Points • 284 Calories  https://www.skinnytaste.com/chicken-shawarma-salad/
clean_eating,calorie,Skinny_taste,https://www.facebook.com/157606644261329/posts/2450301511658486/,Grilled Salmon and Lemon Skewers are SO good and loaded with omega-3s!  5 Smart Points  • 267 Calories (2 skewers) Print the recipe on Skinnytaste http://www.skinnytaste.com/these-lovely-grilled-salmon-and-lemon/
clean_eating,calorie,Skinny_taste,https://www.facebook.com/157606644261329/posts/2369695893052382/,Corn  Tomato  Cucumber and Avocado Salad  the perfect side dish with anything you re grilling!   3 Freestyle Points • 128 Calories https://www.skinnytaste.com/corn-tomato-avocado-salad/
clean_eating,calorie,Skinny_taste,https://www.facebook.com/157606644261329/posts/2449923255029645/,The perfect 4th of July treat  they taste too good to be under 100 calories!  4 Freestyle Points • 98 Calories https://www.skinnytaste.com/red-white-and-blueberry-cheesecake/
clean_eating,calorie,Skinny_taste,https://www.facebook.com/157606644261329/posts/2444405855581385/,Broccoli and Cheese Egg Muffins are perfect for meal prep! And so easy to make.  1 Freestyle Points • 167 Calories https://www.skinnytaste.com/broccoli-and-cheese-mini-egg-omelets-2/
clean_eating,calorie,Skinny_taste,https://www.facebook.com/157606644261329/posts/2444409435581027/,This easy Key Lime Yogurt Pie is a cross between a key lime pie and a key lime cheesecake.   6 Freestyle Points • 139 Calories https://www.skinnytaste.com/key-lime-yogurt-pie/
clean_eating,calorie,Skinny_taste,https://www.facebook.com/157606644261329/posts/2431117886910182/,Pineapple Shrimp Fried Rice has a delicious flavor combination of savory  sweet and spicy.   8 Freestyle Points • 431 Calories PRINT: https://www.skinnytaste.com/pineapple-shrimp-fried-rice/
clean_eating,calorie,Skinny_taste,https://www.facebook.com/157606644261329/posts/2440142099341094/,Fire up the grill and make these Grilled Shrimp and Vegetable Bowls! A simple  light dish you’ll want to make all summer long!   6 Smart Points  • 247 Calories  Print the full recipe on Skinnytaste http://www.skinnytaste.com/grilled-shrimp-and-vegetable-bowl/
clean_eating,calorie,Skinny_taste,https://www.facebook.com/157606644261329/posts/2456269561061681/,Chickpea Salad with Cucumbers and Tomatoes is great for lunch or as a side dish with anything you’re grilling!  1 Freestyle Points • 182 Calories https://www.skinnytaste.com/chickpea-salad/
clean_eating,calorie,Skinny_taste,https://www.facebook.com/157606644261329/posts/2449844961704141/,This fast and easy Air Fryer Cajun Shrimp recipe is a meal-in-one  made with shrimp  sausage  and lots of colorful vegetables such as zucchini  yellow squash and bell peppers. If course  if you don t have an air fryer you can make it in the oven  just increase the temp 25 degrees and double the cook time!  5 Freestyle Points 284 Calories https://www.skinnytaste.com/air-fryer-cajun-shrimp-dinner/
clean_eating,calorie,Skinny_taste,https://www.facebook.com/157606644261329/posts/2444407345581236/,These delicious AIR FRYER CHIMICHANGAS made with chicken  green chili and pepper jack cheese are crispy  and so good  a much healthier twist on the classic! Recipe from The Skinnytaste Air Fryer Cookbook  filled with 75 healthy recipes for any air fryer!! (Oven recipe included)  6 Freestyle Points • 391 Calories https://www.skinnytaste.com/chicken-chimichangas/
clean_eating,calorie,Skinny_taste,https://www.facebook.com/157606644261329/posts/2467594976595806/,Pasta Salad with Arugula and Chickpeas is so delicious  with sun dried tomatoes  shaved parmesan and balsamic vinegar. Great for those hot summer nights.  9 Freestyle Points • 280 Calories https://www.skinnytaste.com/arugula-salad-with-penne-garbanzo-beans/
clean_eating,calorie,Skinny_taste,https://www.facebook.com/157606644261329/posts/2448147438540560/,Grilled Shrimp Tostadas are great for Mexican night!   I made these tonight and omg they were soooooo good.  – Erica  4 Freestyle Points • 262 Calories each https://www.skinnytaste.com/grilled-shrimp-tostadas/
clean_eating,"calorie, low-carb",Skinny_taste,https://www.facebook.com/157606644261329/posts/2429093987112572/,Low Carb  Potato  Salad is actually made with cauliflower  you ll be surprised how good this is!!!   4 Freestyle Points • 222 Calories  https://www.skinnytaste.com/low-carb-potato-salad/
clean_eating,"calorie, low-carb",Skinny_taste,https://www.facebook.com/157606644261329/posts/2437561019599202/,This EASY Corn Tomato Avocado Salad is summer in a bowl! A great way to enjoy those end of summer veggies!!  3 Freestyle Points • 128 Calories  Print full recipe: https://www.skinnytaste.com/corn-tomato-avocado-salad/
clean_eating,"calorie, low-carb",Skinny_taste,https://www.facebook.com/157606644261329/posts/2425150507506920/,Perfect to pack for work or the beach! Just 5 ingredients  and less than 10 minutes to make!    5 Freestyle Points • 274 Calories (low-carb  keto  GF  whole30) https://www.skinnytaste.com/chicken-club-lettuce-wrap-sandwich/
clean_eating,"calorie, low-carb",Skinny_taste,https://www.facebook.com/157606644261329/posts/2460669687288335/,I am going low-carb this month. These EASY Turkey Taco Lettuce Wraps are on the menu!   5 Freestyle Points • 255 Calories  (keto  low-carb  whole30) https://www.skinnytaste.com/turkey-taco-lettuce-wraps-3-pts/
clean_eating,"calorie, low-carb",Skinny_taste,https://www.facebook.com/157606644261329/posts/2449917838363520/,My new OBSESSION! Low-Carb CALIFORNIA SPICY CRAB STUFFED AVOCADO tastes just like a spicy crab roll without the rice! Would be great with tuna too!  5 Smart Points  • 194 Calories  per half (GF  DF  Keto  Paleo  Whole30) http://www.skinnytaste.com/california-spicy-crab-stuffed-avocado/
clean_eating,"calorie, low-carb",Skinny_taste,https://www.facebook.com/157606644261329/posts/2436267333061904/,So EASY! You ll want to make them all summer long!  3 Freestyle Points 180 Calories (Keto  Low-carb  GF) https://www.skinnytaste.com/grilled-pesto-shrimp-skewers/
